class,id,name,presync,sync,postsync,init,heartbeat,precommit,commit,finalize
overhead_line_conductor,0,conductor1,0,0,0,0,0,0,0,0
overhead_line_conductor,1,conductor2,0,0,0,0,0,0,0,0
overhead_line_conductor,2,conductor3,0,0,0,0,0,0,0,0
underground_line_conductor,3,conductor4,0,0,0,0,0,0,0,0
underground_line_conductor,4,conductor5,0,0,0,0,0,0,0,0
line_spacing,5,line_spacing1,0,0,0,0,0,0,0,0
line_spacing,6,line_spacing2,0,0,0,0,0,0,0,0
line_spacing,7,line_spacing3,0,0,0,0,0,0,0,0
line_spacing,8,line_spacing4,0,0,0,0,0,0,0,0
line_spacing,9,line_spacing5,0,0,0,0,0,0,0,0
line_spacing,10,line_spacing6,0,0,0,0,0,0,0,0
line_spacing,11,line_spacing_7,0,0,0,0,0,0,0,0
line_configuration,12,line_configuration1,0,0,0,0,0,0,0,0
line_configuration,13,line_configuration2,0,0,0,0,0,0,0,0
line_configuration,14,line_configuration3,0,0,0,0,0,0,0,0
line_configuration,15,line_configuration4,0,0,0,0,0,0,0,0
line_configuration,16,line_configuration5,0,0,0,0,0,0,0,0
line_configuration,17,line_configuration6,0,0,0,0,0,0,0,0
line_configuration,18,line_configuration7,0,0,0,0,0,0,0,0
transformer_configuration,19,transformer_configuration1,0,0,0,0,0,0,0,0
regulator_configuration,20,regulator_configuration1,0,0,0,0,0,0,0,0
overhead_line,21,overhead_line1,0,0,0,0,0,0,0,0
overhead_line,22,overhead_line2,0,0,0,0,0,0,0,0
overhead_line,23,overhead_line3,0,0,0,0,0,0,0,0
overhead_line,24,overhead_line4,0,0,0,0,0,0,0,0
overhead_line,25,overhead_line5,0,0,0,0,0,0,0,0
overhead_line,26,overhead_line6,0,0,0,0,0,0,0,0
overhead_line,27,overhead_line7,0,0,0,0,0,0,0,0
overhead_line,28,overhead_line8,0,0,0,0,0,0,0,0
underground_line,29,overhead_line9,0,0,0,0,0,0,0,0
underground_line,30,overhead_line10,0,0,0,0,0,0,0,0
overhead_line,31,overhead_line11,0,0,0,0,0,0,0,0
node,32,Node633,0,0,0,0,0,0,0,0
node,33,Node630,0,0,0,0,0,0,0,0
node,34,Node632,0,0,0,0,0,0,0,0
node,35,Node650,0,0,0,0,0,0,0,0
node,36,Node680,0,0,0,0,0,0,0,0
node,37,Node684,0,0,0,0,0,0,0,0
load,38,Load634,0,0,0,0,0,0,0,0
load,39,Load645,0,0,0,0,0,0,0,0
load,40,Load646,0,0,0,0,0,0,0,0
load,41,Load652,0,0,0,0,0,0,0,0
load,42,Load671,0,0,0,0,0,0,0,0
load,43,Load675,0,0,0,0,0,0,0,0
load,44,Load692,0,0,0,0,0,0,0,0
load,45,Load611,0,0,0,0,0,0,0,0
load,46,Load6711,0,0,0,0,0,0,0,0
load,47,Load6321,0,0,0,0,0,0,0,0
switch,48,switch1,0,0,0,0,0,0,0,0
transformer,49,XFMR1,0,0,0,0,0,0,0,0
regulator,50,Reg1,0,0,0,0,0,0,0,0
voltdump,51,,0,0,0,1000,0,0,0,0
currdump,52,,0,0,0,0,0,0,0,0
recorder,53,,0,0,0,0,0,0,0,0
