Object,Property,Violation Value,Violation Time
line8to13,rating.summer.continuous|current_out_A,606.4538231011492,2018-03-01 00:00:00 PST
line8to13,rating.summer.continuous|current_in_A,606.4533270656531,2018-03-01 00:00:00 PST
line8to13,rating.winter.continuous|current_out_A,606.4538231011492,2018-03-01 00:00:00 PST
line8to13,rating.winter.continuous|current_in_A,606.4533270656531,2018-03-01 00:00:00 PST
line149to1,rating.summer.continuous|current_out_C,553.1544275427686,2018-03-01 00:00:00 PST
line149to1,rating.summer.continuous|current_in_C,553.1544321065082,2018-03-01 00:00:00 PST
line149to1,rating.winter.continuous|current_out_C,553.1544275427686,2018-03-01 00:00:00 PST
line149to1,rating.winter.continuous|current_in_C,553.1544321065082,2018-03-01 00:00:00 PST
reg150to15001,continuous_rating|current_out_B,408268217866.0,2018-03-01 00:00:00 PST
reg150to15001,continuous_rating|current_out_C,245144553149.0,2018-03-01 00:00:00 PST
reg25to2501,continuous_rating|current_out_C,63224419558.0,2018-03-01 00:00:00 PST
reg160to16001,continuous_rating|current_out_B,18366995237.0,2018-03-01 00:00:00 PST
reg160to16001,continuous_rating|current_out_C,110662216217.0,2018-03-01 00:00:00 PST
line8to13,rating.summer.continuous|current_out_A,607.965718678282,2018-03-01 00:00:30 PST
line8to13,rating.summer.continuous|current_in_A,607.9652222232781,2018-03-01 00:00:30 PST
line8to13,rating.winter.continuous|current_out_A,607.965718678282,2018-03-01 00:00:30 PST
line8to13,rating.winter.continuous|current_in_A,607.9652222232781,2018-03-01 00:00:30 PST
line149to1,rating.summer.continuous|current_out_C,553.7513111289046,2018-03-01 00:00:30 PST
line149to1,rating.summer.continuous|current_in_C,553.7513164226642,2018-03-01 00:00:30 PST
line149to1,rating.winter.continuous|current_out_C,553.7513111289046,2018-03-01 00:00:30 PST
line149to1,rating.winter.continuous|current_in_C,553.7513164226642,2018-03-01 00:00:30 PST
reg150to15001,continuous_rating|current_out_B,408617217711.0,2018-03-01 00:00:30 PST
reg150to15001,continuous_rating|current_out_C,284656553744.0,2018-03-01 00:00:30 PST
reg25to2501,continuous_rating|current_out_C,647039194292.0,2018-03-01 00:00:30 PST
reg160to16001,continuous_rating|current_out_B,182815988668.0,2018-03-01 00:00:30 PST
reg160to16001,continuous_rating|current_out_C,929986215528.0,2018-03-01 00:00:30 PST
line8to13,rating.summer.continuous|current_out_A,608.6648190071445,2018-03-01 00:01:00 PST
line8to13,rating.summer.continuous|current_in_A,608.6643221563097,2018-03-01 00:01:00 PST
line8to13,rating.winter.continuous|current_out_A,608.6648190071445,2018-03-01 00:01:00 PST
line8to13,rating.winter.continuous|current_in_A,608.6643221563097,2018-03-01 00:01:00 PST
line149to1,rating.summer.continuous|current_out_C,554.350364302881,2018-03-01 00:01:00 PST
line149to1,rating.summer.continuous|current_in_C,554.3493703075576,2018-03-01 00:01:00 PST
line149to1,rating.winter.continuous|current_out_C,554.350364302881,2018-03-01 00:01:00 PST
line149to1,rating.winter.continuous|current_in_C,554.3493703075576,2018-03-01 00:01:00 PST
reg150to15001,continuous_rating|current_out_B,408972217566.0,2018-03-01 00:01:00 PST
reg150to15001,continuous_rating|current_out_C,32231655434.0,2018-03-01 00:01:00 PST
