Object,Class,Init Prop,Min Thresh,Max Thresh,Commit Prop,Violation Value,Violation Time
line1to2,overhead_line,rating.summer.continuous,,50.0,current_out_A,65.54572130291955,time
line1to2,overhead_line,rating.summer.continuous,,50.0,current_out_B,204.05135191416892,time
line1to2,overhead_line,rating.summer.continuous,,50.0,current_out_C,214.18083429473177,time
line1to2,overhead_line,rating.summer.continuous,,50.0,current_in_A,65.54546840552747,time
line1to2,overhead_line,rating.summer.continuous,,50.0,current_in_B,204.0508030263297,time
line1to2,overhead_line,rating.summer.continuous,,50.0,current_in_C,214.1798317438755,time
line1to2,overhead_line,rating.winter.continuous,,50.0,current_out_A,65.54572130291955,time
line1to2,overhead_line,rating.winter.continuous,,50.0,current_out_B,204.05135191416892,time
line1to2,overhead_line,rating.winter.continuous,,50.0,current_out_C,214.18083429473177,time
line1to2,overhead_line,rating.winter.continuous,,50.0,current_in_A,65.54546840552747,time
line1to2,overhead_line,rating.winter.continuous,,50.0,current_in_B,204.0508030263297,time
line1to2,overhead_line,rating.winter.continuous,,50.0,current_in_C,214.1798317438755,time
line1to3,overhead_line,rating.summer.continuous,,50.0,current_out_A,65.54572130291955,time
line1to3,overhead_line,rating.summer.continuous,,50.0,current_out_B,204.05135191416892,time
line1to3,overhead_line,rating.summer.continuous,,50.0,current_out_C,214.18083429473177,time
line1to3,overhead_line,rating.summer.continuous,,50.0,current_in_A,65.54546840552747,time
line1to3,overhead_line,rating.summer.continuous,,50.0,current_in_B,204.0508030263297,time
line1to3,overhead_line,rating.summer.continuous,,50.0,current_in_C,214.1798317438755,time
line1to3,overhead_line,rating.winter.continuous,,50.0,current_out_A,65.54572130291955,time
line1to3,overhead_line,rating.winter.continuous,,50.0,current_out_B,204.05135191416892,time
line1to3,overhead_line,rating.winter.continuous,,50.0,current_out_C,214.18083429473177,time
line1to3,overhead_line,rating.winter.continuous,,50.0,current_in_A,65.54546840552747,time
line1to3,overhead_line,rating.winter.continuous,,50.0,current_in_B,204.0508030263297,time
line1to3,overhead_line,rating.winter.continuous,,50.0,current_in_C,214.1798317438755,time
line1to7,overhead_line,rating.summer.continuous,,50.0,current_out_A,65.54572130291955,time
line1to7,overhead_line,rating.summer.continuous,,50.0,current_out_B,204.05135191416892,time
line1to7,overhead_line,rating.summer.continuous,,50.0,current_out_C,214.18083429473177,time
line1to7,overhead_line,rating.summer.continuous,,50.0,current_in_A,65.54546840552747,time
line1to7,overhead_line,rating.summer.continuous,,50.0,current_in_B,204.0508030263297,time
line1to7,overhead_line,rating.summer.continuous,,50.0,current_in_C,214.1798317438755,time
line1to7,overhead_line,rating.winter.continuous,,50.0,current_out_A,65.54572130291955,time
line1to7,overhead_line,rating.winter.continuous,,50.0,current_out_B,204.05135191416892,time
line1to7,overhead_line,rating.winter.continuous,,50.0,current_out_C,214.18083429473177,time
line1to7,overhead_line,rating.winter.continuous,,50.0,current_in_A,65.54546840552747,time
line1to7,overhead_line,rating.winter.continuous,,50.0,current_in_B,204.0508030263297,time
line1to7,overhead_line,rating.winter.continuous,,50.0,current_in_C,214.1798317438755,time
line3to4,overhead_line,rating.summer.continuous,,50.0,current_out_A,65.54572130291955,time
line3to4,overhead_line,rating.summer.continuous,,50.0,current_out_B,204.05135191416892,time
line3to4,overhead_line,rating.summer.continuous,,50.0,current_out_C,214.18083429473177,time
line3to4,overhead_line,rating.summer.continuous,,50.0,current_in_A,65.54546840552747,time
line3to4,overhead_line,rating.summer.continuous,,50.0,current_in_B,204.0508030263297,time
line3to4,overhead_line,rating.summer.continuous,,50.0,current_in_C,214.1798317438755,time
line3to4,overhead_line,rating.winter.continuous,,50.0,current_out_A,65.54572130291955,time
line3to4,overhead_line,rating.winter.continuous,,50.0,current_out_B,204.05135191416892,time
line3to4,overhead_line,rating.winter.continuous,,50.0,current_out_C,214.18083429473177,time
line3to4,overhead_line,rating.winter.continuous,,50.0,current_in_A,65.54546840552747,time
line3to4,overhead_line,rating.winter.continuous,,50.0,current_in_B,204.0508030263297,time
line3to4,overhead_line,rating.winter.continuous,,50.0,current_in_C,214.1798317438755,time
